[ 2025-11-02 21:07:08,781 ] Using spritesheet cache size of 910
[ 2025-11-02 21:07:10,691 ] Asset loading complete
[ 2025-11-02 21:07:11,088 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x2a07e9caa50), parent's thread is QThread(0x2a0751a5980), current thread is QSGRenderThread(0x2a07ef6b6a0)
[ 2025-11-02 21:07:34,776 ] Using spritesheet cache size of 910
[ 2025-11-02 21:07:36,249 ] Asset loading complete
[ 2025-11-02 21:07:36,991 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1381f977170), parent's thread is QThread(0x1381d7fe4c0), current thread is QSGRenderThread(0x1382f460cd0)
[ 2025-11-02 21:07:41,372 ] Retrying to obtain clipboard.
[ 2025-11-02 21:07:41,548 ] Retrying to obtain clipboard.
[ 2025-11-02 21:07:43,725 ] Retrying to obtain clipboard.
[ 2025-11-02 21:07:43,827 ] Retrying to obtain clipboard.
[ 2025-11-02 21:08:08,262 ] Retrying to obtain clipboard.
[ 2025-11-02 21:08:10,644 ] News query failed: "Unrecognized event news."
[ 2025-11-02 21:08:12,112 ] BattlEye: "Initialized (v1.249)"
[ 2025-11-02 21:08:12,113 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2025-11-02 21:08:12,113 ] BattlEye: "Restarting client is necessary, update required"
[ 2025-11-02 21:08:12,113 ] BattlEye: "Config entry: GameID tibia"
[ 2025-11-02 21:08:12,113 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-11-02 21:08:12,232 ] Request connection to gameserver  "tcp://72.60.11.224:7172"  (unprotected:  "tcp://72.60.11.224:7172" )  requested (Charakter "[GOD] Miopia" )
[ 2025-11-02 21:08:12,238 ] Request connection to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"
[ 2025-11-02 21:08:12,250 ] Connected to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"
[ 2025-11-02 21:08:13,313 ] News query failed: "Unrecognized event news."
[ 2025-11-02 21:08:19,450 ] Connection to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"  was disconnected ( "The remote host closed the connection" )
[ 2025-11-02 21:08:19,538 ] Disconnected from gameserver
[ 2025-11-02 21:08:19,950 ] News query failed: "Unrecognized event news."
[ 2025-11-02 21:08:24,643 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://72.60.11.224/myaac/login.php") ) due to too many retries.
[ 2025-11-02 21:08:25,692 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://72.60.11.224/myaac/login.php") ) due to too many retries.
[ 2025-11-02 21:08:25,766 ] Request connection to gameserver  "tcp://72.60.11.224:7172"  (unprotected:  "tcp://72.60.11.224:7172" )  requested (Charakter "[GOD] Miopia" )
[ 2025-11-02 21:08:25,770 ] Request connection to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"
[ 2025-11-02 21:08:25,777 ] Connected to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"
[ 2025-11-02 21:08:28,950 ] Connection to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"  was disconnected ( "The remote host closed the connection" )
[ 2025-11-02 21:08:29,019 ] Disconnected from gameserver
[ 2025-11-02 21:08:29,074 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://72.60.11.224/myaac/login.php") ) due to too many retries.
[ 2025-11-02 21:08:34,610 ] Using spritesheet cache size of 910
[ 2025-11-02 21:08:36,400 ] Asset loading complete
[ 2025-11-02 21:08:36,778 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x26b404e5130), parent's thread is QThread(0x26b33b69c90), current thread is QSGRenderThread(0x26b3f185750)
[ 2025-11-02 22:45:57,612 ] Using spritesheet cache size of 910
[ 2025-11-02 22:45:59,463 ] Asset loading complete
[ 2025-11-02 22:45:59,910 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1c6991ba8e0), parent's thread is QThread(0x1c68d4e8e10), current thread is QSGRenderThread(0x1c69c324f90)
[ 2025-11-02 22:46:16,285 ] News query failed: "Unrecognized event news."
[ 2025-11-02 22:46:17,838 ] BattlEye: "Initialized (v1.249)"
[ 2025-11-02 22:46:17,838 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2025-11-02 22:46:17,838 ] BattlEye: "Restarting client is necessary, update required"
[ 2025-11-02 22:46:17,838 ] BattlEye: "Config entry: GameID tibia"
[ 2025-11-02 22:46:17,838 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-11-02 22:46:17,948 ] Request connection to gameserver  "tcp://72.60.11.224:7172"  (unprotected:  "tcp://72.60.11.224:7172" )  requested (Charakter "[GOD] Miopia" )
[ 2025-11-02 22:46:17,957 ] Request connection to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"
[ 2025-11-02 22:46:17,965 ] Connected to gameserver  "tcp://72.60.11.224:7172" "AvernusOT"
[ 2025-11-02 22:46:17,979 ] News query failed: "Unrecognized event news."
[ 2025-11-02 22:52:12,693 ] Retrying to obtain clipboard.
[ 2025-11-02 22:52:52,164 ] Retrying to obtain clipboard.
[ 2025-11-02 22:57:22,922 ] Retrying to obtain clipboard.
[ 2025-11-02 22:57:22,973 ] Retrying to obtain clipboard.
[ 2025-11-02 22:59:35,684 ] Retrying to obtain clipboard.
[ 2025-11-02 22:59:35,827 ] Retrying to obtain clipboard.
